epoch,train_loss,seg_loss,kd_loss,feature_loss,all_dice_wt,all_dice_tc,all_dice_et,all_mean,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et,full_constraint_met,learning_rate,elapsed_sec,successful_steps,skipped_nonfinite_steps
1,474395.10475961876,0.37661758620105684,474394.7179844246,0.03105000868086381,,,,,,,,,,5e-05,198.8487841999886,1000,0
2,338489.84758439637,0.3416455028913915,338489.49345977785,0.031245287973957602,,,,,,,,,,5e-05,194.62460080000164,1000,0
3,181887.05941249084,0.3267625962961465,181886.71956167603,0.030029239659081212,,,,,,,,,,5e-05,196.41747920001217,1000,0
4,164798.57192204284,0.32473216114751996,164798.23117840575,0.031301823273301124,,,,,,,,,,5e-05,201.17168860000675,1000,0
5,127328.84811225891,0.3068192823510617,127328.52790437317,0.026675626251730138,0.8604307695670178,0.8384126055696467,0.8037572002295795,0.834200191788748,0.8486666833213631,0.5125804420069795,0.34381732101026086,0.4281988815086202,True,5e-05,555.8166579999961,1000,0
6,158782.05438623048,0.31479471690580246,158781.72343714905,0.031813664539949965,,,,,,,,,,5e-05,199.3780010000046,1000,0
7,156028.5515862961,0.31988038823381065,156028.21418265533,0.03365205982304178,,,,,,,,,,5e-05,199.21965709999495,1000,0
8,134033.11287432097,0.3164521632995456,134032.7808607178,0.031160430342773906,,,,,,,,,,5e-05,199.598725200005,1000,0
9,138296.909219162,0.31965146909840403,138296.57225203706,0.03436739270621911,,,,,,,,,,5e-05,199.1351180000056,1000,0
10,141068.0477704773,0.313861151214689,141067.71810498048,0.031184626589762048,0.8601713910122787,0.8344662118870732,0.7983290607175334,0.8309888878722952,0.8486201535800013,0.5042443599247562,0.3447479842374873,0.4244961720811218,True,5e-05,562.8095873999991,1000,0
11,128533.67233926391,0.3057262017149478,128533.3516257782,0.03008084322651848,,,,,,,,,,5e-05,198.72248159999435,1000,0
12,136635.62579031373,0.30458541959710417,136635.30474902343,0.03232214393420145,,,,,,,,,,5e-05,206.95567320000555,1000,0
13,126252.64933041381,0.3096667269170284,126252.32434745789,0.030244877468561755,,,,,,,,,,5e-05,210.4888701000018,1000,0
14,121831.60096141053,0.30580130382068454,121831.27912976075,0.03143788860575296,,,,,,,,,,5e-05,205.61517629999435,1000,0
15,125284.07308395386,0.3070534323900938,125283.75016323852,0.03150749189732596,0.8615986900353874,0.8373493295915128,0.8012159931297138,0.8333880042522047,0.8488176619076808,0.5334761278745115,0.36752557592179064,0.45050085189815103,True,5e-05,558.9595464000013,1000,0
16,132141.66381165312,0.30495456828549505,132141.34395993804,0.03083854686981067,,,,,,,,,,5e-05,200.27366230000916,1000,0
17,115439.85528193665,0.30207292279973624,115439.5382056427,0.02958405368332751,,,,,,,,,,5e-05,200.94661590000032,1000,0
18,122595.94016285705,0.3096046660710126,122595.61473903657,0.030487202292773873,,,,,,,,,,5e-05,200.21245669999917,1000,0
19,125517.6422347107,0.3118101837895811,125517.31471704865,0.030344826670363544,,,,,,,,,,5e-05,200.2732965000032,1000,0
20,122737.67908037567,0.31011559095606206,122737.35376526642,0.030149397619767114,0.8611934134501465,0.8321180938304555,0.7960471215185282,0.8297862095997101,0.8502398741424156,0.5270597766543502,0.36386405131910804,0.44546191398672913,True,5e-05,551.7640688999963,1000,0
21,132454.90751799013,0.31497058031708003,132454.57596347044,0.03275548909441568,,,,,,,,,,5e-05,200.3973435999942,1000,0
22,123871.38415647889,0.30026135154627265,123871.0680401764,0.03183413538592868,,,,,,,,,,5e-05,195.28815249999752,1000,0
23,117093.18441252137,0.30141632830165327,117092.86782148742,0.030094291422050445,,,,,,,,,,5e-05,198.12130069998966,1000,0
24,127411.74974238586,0.302663031835109,127411.43168123627,0.03082406665221788,,,,,,,,,,5e-05,197.38738800000283,1000,0
25,112867.62508546447,0.30720505509898066,112867.30212290192,0.030253947225399317,0.8616587796556415,0.837983310556455,0.802911927856819,0.8341846726896386,0.8501575119759422,0.5497981146007161,0.383402592499983,0.46660035355034957,True,5e-05,569.737283999988,1000,0
26,120012.56329374695,0.3085057025998831,120012.23915674591,0.03190273422840983,,,,,,,,,,5e-05,196.74858070000482,1000,0
27,120023.10086798859,0.3093030195962638,120022.77518505859,0.03226170240086503,,,,,,,,,,5e-05,197.0661364999978,1000,0
28,111829.2000671692,0.29846118002943695,111828.88642377472,0.029961303354240954,,,,,,,,,,5e-05,197.32409939999343,1000,0
29,123236.09516200256,0.30478279407322406,123235.77437462615,0.031524921789066865,,,,,,,,,,5e-05,197.68801159999566,1000,0
30,122363.19480909729,0.304795360468328,122362.8740763321,0.031643784176558255,0.8626028116299889,0.8381967258346122,0.8029375129858948,0.834579016816832,0.8529865531599646,0.5816133662259259,0.4229296518006202,0.502271509013273,True,5e-05,568.0872125000024,1000,0
