epoch,train_loss,seg_loss,kd_loss,feature_loss,all_dice_wt,all_dice_tc,all_dice_et,all_mean,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et,full_constraint_met,learning_rate,elapsed_sec,successful_steps,skipped_nonfinite_steps
1,434077.1539139677,0.3598010470252484,434076.783743032,0.03052828066944221,,,,,,,,,,5e-05,217.47218130000692,1000,0
2,331704.9305803528,0.3463029327597469,331704.5716407166,0.0331440877977293,,,,,,,,,,5e-05,214.69564099999843,1000,0
3,193398.51671336364,0.3265717501528561,193398.1767519989,0.031479119038500356,,,,,,,,,,5e-05,231.00989880000998,1000,0
4,173813.78340007018,0.3244827114660293,173813.44361184692,0.03213000823662151,,,,,,,,,,5e-05,218.58582409999508,1000,0
5,160404.99375509642,0.32176068625226617,160404.6558334961,0.03189079938002396,0.8614789587319329,0.8391966919668811,0.8043837701188896,0.8350198069392345,0.84986053738762,0.5385891183787586,0.37109421866290787,0.4548416685208332,True,5e-05,597.0744412000058,1000,0
6,132522.30309510804,0.3193764425367117,132521.96855267335,0.03049049092736095,,,,,,,,,,5e-05,219.21734679999645,1000,0
7,133531.89873641968,0.3089677867330611,133531.574356781,0.03130684027273674,,,,,,,,,,5e-05,208.97362710000016,1000,0
8,140239.35452830506,0.3171915683448315,140239.02149821472,0.03127782421116717,,,,,,,,,,5e-05,214.27614139999787,1000,0
9,131987.46015270997,0.3133605822846293,131987.13107082367,0.031741904274560515,,,,,,,,,,5e-05,223.07496640000318,1000,0
10,124728.13790512085,0.3080284643135965,124727.81460192871,0.029861809047171846,0.8625069945149217,0.8395690740917992,0.8044910049294308,0.835522357845384,0.8507196005213921,0.5291653818150637,0.3655884625103546,0.44737692216270913,True,5e-05,603.6443589000119,1000,0
11,129023.80887524414,0.31007408279180526,129023.48349920654,0.030745473625604064,,,,,,,,,,5e-05,215.1864312999969,1000,0
12,121718.47505914306,0.3042520113196224,121718.15588822938,0.03007011768175289,,,,,,,,,,5e-05,207.03229550000106,1000,0
13,141741.8997711487,0.3144960647094995,141741.5686869049,0.032385860876180235,,,,,,,,,,5e-05,218.17472789999738,1000,0
14,133649.61790618897,0.3107222383450717,133649.2914965515,0.031253180562052875,,,,,,,,,,5e-05,212.489631000004,1000,0
15,131105.10397170257,0.30662951901927593,131104.78105587006,0.0325917132475879,0.8621977373754839,0.8371975602235697,0.8025732322210964,0.8339895099400501,0.8517395513085535,0.5552350293332762,0.38868565172142855,0.47196034052735236,True,5e-05,610.3205530999985,1000,0
16,152752.8979839325,0.320139605557546,152752.56098043823,0.03445189902861603,,,,,,,,,,5e-05,217.93167550000362,1000,0
17,120005.95158711243,0.29981103451177477,120005.6360796051,0.03148215022985824,,,,,,,,,,5e-05,232.77114759999677,1000,0
18,120933.03256573486,0.30162121313251555,120932.71368281555,0.03353361659916118,,,,,,,,,,5e-05,220.46707879999303,1000,0
19,133810.58154762269,0.31324933589063586,133810.25125283815,0.03399209767440334,,,,,,,,,,5e-05,216.5061790000036,1000,0
20,124386.93400013733,0.3053639386743307,124386.6126803131,0.03167987911147065,0.8626687256627811,0.8409118036828053,0.8062515968797601,0.8366107087417821,0.8523977685194859,0.5819991653157112,0.4201912497479813,0.5010952075318462,True,5e-05,591.0373213999992,1000,0
21,120207.62914431763,0.3053259853385389,120207.30708422851,0.03241722300555557,,,,,,,,,,5e-05,236.27344679999806,1000,0
22,124805.95862291717,0.29674923622608185,124805.6465309906,0.030341769079677762,,,,,,,,,,5e-05,232.89686770000844,1000,0
23,111999.60396637725,0.29953295866586266,111999.2890652771,0.031261063751531766,,,,,,,,,,5e-05,230.81291659999988,1000,0
24,125627.33559786987,0.3052046004794538,125627.01426025391,0.032454442601883786,,,,,,,,,,5e-05,226.03499270000611,1000,0
25,112303.78974087525,0.2987475156635046,112303.4762706604,0.03000513348961249,0.8624532699087069,0.8402229923769614,0.8053953626578607,0.8360238749811764,0.8527130047821346,0.5889807696213353,0.42478851575523136,0.5068846426882834,True,5e-05,596.2950492000091,1000,0
26,120184.91271520997,0.30233307674340903,120184.59456550598,0.03122371589881368,,,,,,,,,,5e-05,203.41993699999875,1000,0
27,126208.92529266357,0.3061263979449868,126208.60247157287,0.03261515166214667,,,,,,,,,,5e-05,202.7918903999962,1000,0
28,119153.22811053466,0.3023586446959525,119152.91005987549,0.03140031109144911,,,,,,,,,,5e-05,202.30639059998794,1000,0
29,120395.17264260864,0.3036334223225713,120394.85288697814,0.03202527866070159,,,,,,,,,,5e-05,204.74618249999185,1000,0
30,113956.02014280701,0.2978861175999045,113955.70614063262,0.032229960347292946,0.860496749538555,0.8337461705597775,0.7994206764391238,0.8312211988458188,0.8496486360023984,0.5811196829222132,0.41712349625309136,0.4991215895876523,True,5e-05,552.6277491999936,1000,0
