subset,condition,dice_wt,dice_tc,dice_et
all,RMD ON,0.8983514466434954,0.8274479575614792,0.8392304633725647
all,RMD OFF,0.8927223346698314,0.8374920503084856,0.8138531291209593
drop T1,RMD ON,0.8985845584064573,0.8311030362168214,0.8218433319406738
drop T1,RMD OFF,0.8569693909385402,0.7816577472563536,0.7521028253357479
drop T1ce,RMD ON,0.8687035746999525,0.11050615008199823,0.04445208823093955
drop T1ce,RMD OFF,0.8525995303952084,0.13676799762268396,0.00344412688767607
drop T2,RMD ON,0.8885190710084093,0.8304702362281069,0.8417783199733365
drop T2,RMD OFF,0.8331617040050701,0.7871435223507319,0.793609007828628
drop FLAIR,RMD ON,0.7937725811624328,0.8097665394468209,0.818548342739892
drop FLAIR,RMD OFF,0.47620199454497325,0.6698210799108032,0.656714363035042
