epoch,train_loss,val_loss,val_dice_wt,val_dice_tc,val_dice_et,learning_rate
1,0.5972836296111346,,,,,0.001
2,0.30296891257911923,,,,,0.001
3,0.2742482697069645,,,,,0.001
4,0.2568287242874503,,,,,0.001
5,0.24380889975652098,0.3490208381190896,0.7859584453504715,0.7324309665174236,0.7519684878671261,0.001
6,0.2390793253928423,,,,,0.001
7,0.23111568475514652,,,,,0.001
8,0.2280169213451445,,,,,0.001
9,0.22012375142984092,,,,,0.001
10,0.21757850185781719,0.33296735801547767,0.7749609656854475,0.7599296359429832,0.7367081969246486,0.001
11,0.20910464809462428,,,,,0.001
12,0.2024218243137002,,,,,0.001
13,0.19975161486305296,,,,,0.001
14,0.19361633265204728,,,,,0.001
15,0.19348246901109814,0.2887050301283598,0.807479032720184,0.7962756260809227,0.7643154021331221,0.001
16,0.19101185643672944,,,,,0.001
17,0.19008769093081354,,,,,0.001
18,0.18513946367427705,,,,,0.001
19,0.1826260110307485,,,,,0.001
20,0.18070297623239456,0.2914460436552763,0.8077240834499336,0.7787925915619394,0.7465992143447429,0.001
21,0.17916502872668208,,,,,0.001
22,0.1792555159702897,,,,,0.001
23,0.1767907358314842,,,,,0.001
24,0.17479573007673024,,,,,0.001
25,0.17403892911411822,0.2898400265611708,0.78549198148645,0.7836549632764165,0.7641031867944597,0.001
26,0.17136524970456957,,,,,0.001
27,0.16757454013824463,,,,,0.001
28,0.16838044575601815,,,,,0.001
29,0.16844327794574201,,,,,0.001
30,0.16509807681851088,0.2574970894902945,0.8443593250102803,0.8325147140107688,0.7928007389812476,0.001
31,0.16314899352937937,,,,,0.001
32,0.16313405002839862,,,,,0.001
33,0.16288788847159594,,,,,0.001
34,0.16202583090588452,,,,,0.001
35,0.1612241966743022,0.26840649335458877,0.8272253989915815,0.7970024518084866,0.7647672548307924,0.001
36,0.15855527341365813,,,,,0.001
37,0.16147756042424588,,,,,0.001
38,0.157673653986305,,,,,0.001
39,0.15553537967056036,,,,,0.001
40,0.15703776143305004,0.28323876681923865,0.8221429265341454,0.7853354818290847,0.7665631368264679,0.001
