epoch,train_loss,seg_loss,kd_loss,feature_loss,all_dice_wt,all_dice_tc,all_dice_et,all_mean,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et,full_constraint_met,learning_rate,elapsed_sec,successful_steps,skipped_nonfinite_steps
1,412960.1564227669,0.3601946416329592,412959.78350455675,0.030091299720909775,,,,,,,,,,5e-05,211.17204569999012,1000,0
2,299035.62912426755,0.33987091935053465,299035.2765701294,0.0314719599285163,,,,,,,,,,5e-05,204.20404620000045,1000,0
3,225500.84948123168,0.3261396386325359,225500.51043688966,0.031438225128047635,,,,,,,,,,5e-05,202.2205535999965,1000,0
4,153877.00262147523,0.31897696303203704,153876.66875921632,0.03133640702324919,,,,,,,,,,5e-05,201.97945210000034,1000,0
5,141744.77215760804,0.31891518530249596,141744.43769299318,0.03073317561019212,0.8637762138290863,0.8425482073600125,0.8072674935936776,0.8378639715942587,0.851554334996097,0.5009568542596764,0.3245610039231325,0.41275892909140444,True,5e-05,573.9344159000029,1000,0
6,141452.00515536498,0.31811040715128186,141451.67111019898,0.031285144556663,,,,,,,,,,5e-05,207.68960190001235,1000,0
7,146903.4899403534,0.3201884828619659,146903.15354696655,0.031240901565295645,,,,,,,,,,5e-05,206.06167199999618,1000,0
8,147993.98603421022,0.31888906786032023,147993.6508122406,0.03178206849994603,,,,,,,,,,5e-05,206.18748649999907,1000,0
9,142052.40974571227,0.31467464253492655,142052.07883917238,0.03183259061595891,,,,,,,,,,5e-05,206.8208617999917,1000,0
10,143651.09741514586,0.31379027219861744,143650.768519989,0.03082444347604178,0.8622719979080968,0.8390329849806393,0.804168734139123,0.835157905675953,0.8501421835584576,0.5309713289862767,0.3699139869951915,0.45044265799073413,True,5e-05,619.3438979000057,1000,0
11,134575.97658076478,0.3150718418005854,134575.64494573974,0.032204729828750715,,,,,,,,,,5e-05,212.87613710000005,1000,0
12,128666.52689389038,0.31473965653777125,128666.19597065735,0.03233481279644184,,,,,,,,,,5e-05,206.41528780000226,1000,0
13,123180.52953964233,0.30843748171813784,123180.20583417511,0.030084939004154876,,,,,,,,,,5e-05,198.6457211000088,1000,0
14,129442.84810407257,0.30295841600559653,129442.52953910828,0.030418710494181142,,,,,,,,,,5e-05,198.3274773000012,1000,0
15,128697.52905773926,0.312352617520839,128697.20073480225,0.03150965291634202,0.8629708770897854,0.8385566663537587,0.8029074745878683,0.8348116726771374,0.851525374504345,0.5582559856129601,0.3882359838241063,0.4732459847185332,True,5e-05,570.0327421999973,1000,0
16,132166.16531360627,0.31108594859018923,132165.83760871124,0.032410504376981404,,,,,,,,,,5e-05,210.88604289999057,1000,0
17,125960.60407220459,0.3022153645195067,125960.28674523925,0.030023756868205964,,,,,,,,,,5e-05,215.8505554000003,1000,0
18,115236.70112520599,0.3043868466112763,115236.38097795867,0.030752973175840453,,,,,,,,,,5e-05,213.07477859999926,1000,0
19,112778.15404985809,0.30785086402483286,112777.83157680511,0.029537159745581448,,,,,,,,,,5e-05,211.49193399999058,1000,0
20,132740.42403134156,0.3090320132505149,132740.09761853027,0.03430610036221333,0.8623293009563967,0.8380325218689595,0.8033562295544113,0.8345726841265892,0.8518846263110875,0.56195772618677,0.39772512625082584,0.4798414262187979,True,5e-05,581.359701399997,1000,0
21,126176.32851995087,0.3131580328941345,126175.99913694763,0.0321215175925754,,,,,,,,,,5e-05,199.01030009999522,1000,0
22,114362.5139453659,0.30178147634491326,114362.19715374756,0.029622836055466905,,,,,,,,,,5e-05,200.77309590000368,1000,0
23,123211.64018399047,0.3048136694468558,123211.320395401,0.0300031819678843,,,,,,,,,,5e-05,198.73624339999515,1000,0
24,131123.4799029541,0.3081282250955701,131123.15543136597,0.032347638375125824,,,,,,,,,,5e-05,198.1688026000047,1000,0
25,130456.31348477173,0.308140091476962,130455.98949951935,0.031543304688762874,0.8609589816466844,0.8347241216796613,0.7994982744683139,0.8317271259315531,0.8488891262567301,0.5550938077551336,0.3873898827003952,0.4712418452277644,True,5e-05,577.7058777999919,1000,0
26,114627.8241031723,0.2987166457697749,114627.5097125473,0.030328566225711256,,,,,,,,,,5e-05,199.3117259999999,1000,0
27,122544.2749615097,0.3040153640955687,122543.95458996583,0.03195257897092961,,,,,,,,,,5e-05,200.86141199999838,1000,0
28,116176.49208683777,0.3027454203851521,116176.17296577453,0.032364801628747955,,,,,,,,,,5e-05,200.79576359999191,1000,0
29,112873.91674902344,0.3007109418045729,112873.60127394868,0.029783968991599977,,,,,,,,,,5e-05,200.10550600000715,1000,0
30,117006.28198521423,0.3042331825345755,117005.96261112213,0.030005097256973385,0.8614092022794448,0.8360351256590735,0.8006349023300184,0.832693076756179,0.8501945043007874,0.5518470912140578,0.3918458401754103,0.4718464656947341,True,5e-05,581.5438429999922,1000,0
